Video Number,Video Title,Video Duration,Video URL,Watched,Watch again later,Notes
200,Drake - Another Late Night ft. Lil Yachty,3:09,https://www.youtube.com/watch?v=Y3puNlFBqvo,,,
199,"ADONIS ""MY MAN FREESTYLE""",2:57,https://www.youtube.com/watch?v=S3ES0IQQdG8,,,
198,Drake - 8am in Charlotte (Audio),4:27,https://www.youtube.com/watch?v=udTQIU_BiPo,,,
197,Drake - Tried Our Best (Audio),3:30,https://www.youtube.com/watch?v=tJYeoXe5SsA,,,
196,Drake - Bahamas Promises (Audio),3:05,https://www.youtube.com/watch?v=oKr9gDBd0qQ,,,
195,Drake - BBL Love (Audio),2:42,https://www.youtube.com/watch?v=lb9kOFlgEuE,,,
194,Drake - Virginia Beach (Audio),4:12,https://www.youtube.com/watch?v=k20wnICXpps,,,
193,Drake - Gently (Audio) ft. Bad Bunny,2:14,https://www.youtube.com/watch?v=ZsMbP5c4pb4,,,
192,Drake - Calling For You (Audio) ft. 21 Savage,4:46,https://www.youtube.com/watch?v=Z06HSkhGuK4,,,
191,Drake - First Person Shooter (Audio) ft. J. Cole,4:08,https://www.youtube.com/watch?v=sRs2o36a1Us,,,
190,Drake - 7969 Santa (Audio),4:20,https://www.youtube.com/watch?v=VBK5gQuYy_U,,,
189,Drake - What Would Pluto Do (Audio),3:03,https://www.youtube.com/watch?v=tKKpB4FLgzA,,,
188,Drake - Screw The World (Audio),1:53,https://www.youtube.com/watch?v=p3jOMu7FLbE,,,
187,Drake - Polar Opposites (Audio),4:18,https://www.youtube.com/watch?v=jfuzmCOcQSs,,,
186,Drake - Fear Of Heights (Audio),2:36,https://www.youtube.com/watch?v=_6GOjETAPKo,,,
185,Drake - IDGAF (Audio) ft. Yeat,4:21,https://www.youtube.com/watch?v=fCRCLsJQWUQ,,,
184,Drake - Another Late Night (Audio) ft. Lil Yachty,2:51,https://www.youtube.com/watch?v=TgloKfZH7VM,,,
183,Drake - Daylight (Audio),2:45,https://www.youtube.com/watch?v=UklHtii5u3s,,,
182,"Drake - Rich Baby Daddy (Audio) ft. Sexyy Red, SZA",5:20,https://www.youtube.com/watch?v=F7o0upORtCw,,,
181,Drake - Drew A Picasso (Audio),4:23,https://www.youtube.com/watch?v=NP6jx4ZLF-Q,,,
180,Drake - Amen (Audio) ft. Teezo Touchdown,2:22,https://www.youtube.com/watch?v=8HYNcvMks6E,,,
179,Drake - All The Parties (Audio) ft. Chief Keef,3:39,https://www.youtube.com/watch?v=CPdLz75ds4Q,,,
178,Drake - Away From Home (Audio),4:19,https://www.youtube.com/watch?v=DYh6CJWdSHY,,,
177,Drake - Members Only (Audio) ft. PARTYNEXTDOOR,4:38,https://www.youtube.com/watch?v=9YN6_jvHheo,,,
176,Drake - 8am in Charlotte,5:58,https://www.youtube.com/watch?v=VEW9E1EIQ1M,,,
175,"Drake ""Slime You Out"" ft. SZA (Lyric Video)",5:11,https://www.youtube.com/watch?v=s0WIUpETeok,,,
174,"Drake ""Slime You Out"" ft. SZA (Visualizer)",5:11,https://www.youtube.com/watch?v=A19WW5J2Ves,,,
173,Drake - Slime You Out ft. SZA (Official Audio),5:11,https://www.youtube.com/watch?v=2_gLD1jarfU,,,
172,Drake - Search & Rescue (Official Visualizer),4:33,https://www.youtube.com/watch?v=ntp9_iznQ-0,,,
171,"Drake, 21 Savage - Spin Bout U",3:50,https://www.youtube.com/watch?v=T8nbNQpRwNo,,,
170,Drake - Jumbotron Shit Poppin,2:23,https://www.youtube.com/watch?v=Iu9xmEaHwpU,,,
169,Drake and 21 Savage - Rich Flex Her Loss Recap,3:45,https://www.youtube.com/watch?v=PrSBuEFdRFU,,,
168,Drake & 21 Savage - Privileged Rappers | A COLORS SHOW,2:26,https://www.youtube.com/watch?v=WlaGHS_qs58,,,
167,Drake and 21 Savage performing “On BS” live on SNL,3:46,https://www.youtube.com/watch?v=vZo3KgqU6oY,,,
166,Drake - Middle of the Ocean (Audio),5:57,https://www.youtube.com/watch?v=IEueorPNpT0,,,
165,"Drake, 21 Savage - On BS (Audio)",4:22,https://www.youtube.com/watch?v=PNFZHl1H8zY,,,
164,Drake - BackOutsideBoyz (Audio),2:34,https://www.youtube.com/watch?v=srlxBpbKz70,,,
163,"Drake, 21 Savage - Spin Bout U (Audio)",3:35,https://www.youtube.com/watch?v=jALeORvCJG8,,,
162,Drake - I Guess It’s Fuck Me (Audio),4:25,https://www.youtube.com/watch?v=sA5oJZ20CnU,,,
161,"Drake, 21 Savage - Rich Flex (Audio)",4:00,https://www.youtube.com/watch?v=I4DjHHVHWAE,,,
160,"Drake, 21 Savage - Hours In Silence (Audio)",6:40,https://www.youtube.com/watch?v=6hfbHSItskQ,,,
159,"Drake, 21 Savage - Pussy & Millions (Audio) ft. Travis Scott",4:03,https://www.youtube.com/watch?v=8LpAtRIakkk,,,
158,"Drake, 21 Savage - Privileged Rappers (Audio)",2:41,https://www.youtube.com/watch?v=lF3K70KR5Xk,,,
157,21 Savage - 3AM on Glenwood (Audio),2:59,https://www.youtube.com/watch?v=emmE8yDllOw,,,
156,"Drake, 21 Savage - Major Distribution (Audio)",2:51,https://www.youtube.com/watch?v=LfPYX03_4rA,,,
155,"Drake, 21 Savage - Circo Loco (Audio)",3:57,https://www.youtube.com/watch?v=jxILuhLm6hs,,,
154,"Drake, 21 Savage - Broke Boys (Audio)",3:46,https://www.youtube.com/watch?v=cE0iNes-bMQ,,,
153,"Drake, 21 Savage - Treacherous Twins (Audio)",3:01,https://www.youtube.com/watch?v=jCtsnNpCDo0,,,
